DGP_Form,Inference_Form,LOO,LOO_SE,WAIC,WAIC_SE
101,homogenous,231.5317,38.9095,231.6375,38.8968
101,linear,230.6607,38.8647,230.737,38.8578
101,exponential,230.5123,38.9021,230.6794,38.8714
101,sigmoid,230.9922,38.8694,231.0433,38.8711
101,poly2,229.8024,38.792,229.8857,38.784
101,poly3,228.9942,38.787,229.1121,38.7725
102,homogenous,77.1582,21.0193,77.1871,21.0166
102,linear,76.5888,21.1173,76.6342,21.1096
102,exponential,76.5091,21.1439,76.549,21.1387
102,sigmoid,76.3999,21.0779,76.5718,21.0728
102,poly2,75.6877,21.1332,75.7331,21.1265
102,poly3,74.8654,21.1364,74.9415,21.127
200,homogenous,125.4622,23.5176,125.4814,23.5218
200,linear,125.0843,23.6302,125.1481,23.6038
200,exponential,125.2014,23.5967,125.2165,23.6068
200,sigmoid,124.7467,23.5122,124.8298,23.4862
200,poly2,124.2061,23.6527,124.2692,23.6333
200,poly3,123.2209,23.593,123.3103,23.5649
201,homogenous,143.1429,18.1602,143.1767,18.1529
201,linear,156.6696,19.4559,156.7095,19.4505
201,exponential,156.7834,19.3682,156.8459,19.3564
201,sigmoid,154.1894,19.406,154.3027,19.3852
201,poly2,155.3662,19.4453,155.4192,19.4383
201,poly3,158.3412,20.0874,158.3843,20.0847
300,homogenous,-5.2966,28.7606,-5.2497,28.7566
300,linear,-4.8401,29.0132,-4.7869,29.0076
300,exponential,-4.766,29.0268,-4.7243,29.0235
300,sigmoid,-5.2437,29.0013,-5.1883,28.9959
300,poly2,-5.6024,29.0336,-5.5167,29.0288
300,poly3,-6.6622,29.0523,-6.3555,29.0398
